epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,563.349,1.86047,2.23396,2.76011,0.48638,0.48086,0.40584,0.20388,1.67997,2.78225,2.84524,0.0803045,0.000299931,0.000299931
2,1059.4,1.72434,1.87005,2.66857,0.57353,0.49996,0.51883,0.25566,1.62713,2.10909,2.74083,0.0606044,0.000599829,0.000599829
3,1555.96,1.67579,1.76292,2.65574,0.63995,0.53648,0.56836,0.28975,1.58007,1.6047,2.7238,0.0409039,0.00089932,0.00089932
4,2043.07,1.64394,1.67244,2.59584,0.6896,0.53653,0.58429,0.29642,1.5537,1.72042,2.69485,0.0212027,0.0011981,0.0011981
5,2532.55,1.63009,1.64746,2.61808,0.67998,0.55095,0.59694,0.31213,1.47773,2.00697,2.63293,0.00150047,0.00149586,0.00149586
6,3017.72,1.57557,1.60844,2.54239,0.69362,0.58081,0.62251,0.32939,1.50579,1.53708,2.64463,0.00149365,0.00149365,0.00149365
7,3510.73,1.56226,1.57143,2.53838,0.6464,0.58688,0.61157,0.32866,1.44673,1.79425,2.57327,0.00149086,0.00149086,0.00149086
8,3996.82,1.55312,1.51666,2.50515,0.74888,0.58796,0.65918,0.3503,1.44075,1.53435,2.58643,0.00148757,0.00148757,0.00148757
9,4484.4,1.54112,1.50643,2.50981,0.73037,0.60314,0.66865,0.36307,1.44705,1.46053,2.59013,0.00148377,0.00148377,0.00148377
10,4973.94,1.5058,1.48058,2.45882,0.71554,0.6039,0.64875,0.3472,1.47701,1.47779,2.59369,0.00147948,0.00147948,0.00147948
11,5464.28,1.50859,1.45476,2.47348,0.73619,0.62719,0.68798,0.37065,1.46319,1.4407,2.5806,0.0014747,0.0014747,0.0014747
12,5952.23,1.48721,1.40901,2.45257,0.74109,0.62636,0.6789,0.36674,1.44033,1.40024,2.56868,0.00146942,0.00146942,0.00146942
13,6443.85,1.49613,1.40573,2.4656,0.697,0.63403,0.65879,0.36159,1.41602,1.41378,2.56624,0.00146366,0.00146366,0.00146366
14,6934.11,1.4873,1.43412,2.46061,0.75013,0.61758,0.68963,0.37869,1.43124,1.41051,2.54906,0.00145741,0.00145741,0.00145741
15,7419.74,1.45857,1.38165,2.42054,0.74026,0.65556,0.70881,0.39131,1.40563,1.4001,2.54632,0.00145068,0.00145068,0.00145068
16,7907.95,1.46188,1.34488,2.41327,0.76461,0.66025,0.71579,0.39862,1.39662,1.35412,2.52697,0.00144348,0.00144348,0.00144348
17,8394.17,1.46116,1.34378,2.41895,0.78325,0.67147,0.72893,0.40437,1.37516,1.33782,2.48884,0.00143581,0.00143581,0.00143581
18,8884.13,1.45164,1.34852,2.42349,0.76821,0.6562,0.7167,0.39638,1.39481,1.33121,2.50049,0.00142767,0.00142767,0.00142767
19,9371.57,1.44224,1.31732,2.38438,0.7945,0.66797,0.73216,0.40485,1.35865,1.32674,2.47857,0.00141907,0.00141907,0.00141907
20,9856.56,1.42945,1.30244,2.37959,0.77415,0.66575,0.72576,0.40925,1.36061,1.31004,2.47606,0.00141002,0.00141002,0.00141002
21,10352.1,1.43264,1.29568,2.39616,0.77552,0.66392,0.72544,0.40884,1.35286,1.3033,2.4884,0.00140052,0.00140052,0.00140052
22,10839.4,1.4196,1.28944,2.3756,0.76439,0.6674,0.72102,0.40855,1.38862,1.26597,2.49578,0.00139059,0.00139059,0.00139059
23,11330.1,1.4156,1.26815,2.37502,0.77285,0.67452,0.7235,0.41004,1.35486,1.27409,2.47115,0.00138021,0.00138021,0.00138021
24,11822.9,1.42247,1.28885,2.40395,0.76452,0.68974,0.73671,0.41749,1.36029,1.33474,2.47689,0.00136941,0.00136941,0.00136941
25,12312.5,1.41796,1.26265,2.36724,0.76468,0.68948,0.73671,0.41923,1.3512,1.25967,2.45681,0.0013582,0.0013582,0.0013582
26,12799.5,1.40588,1.2575,2.37293,0.78355,0.69894,0.75323,0.42579,1.31776,1.25382,2.44287,0.00134656,0.00134656,0.00134656
27,13288.8,1.39282,1.23431,2.35417,0.8045,0.68449,0.74893,0.42412,1.352,1.26516,2.46546,0.00133453,0.00133453,0.00133453
28,13774.2,1.39646,1.21558,2.36835,0.71352,0.71058,0.69816,0.40036,1.34829,1.28208,2.4531,0.0013221,0.0013221,0.0013221
29,14259.2,1.37689,1.19638,2.32859,0.77935,0.70437,0.75259,0.42911,1.32415,1.20865,2.42853,0.00130929,0.00130929,0.00130929
30,14747.7,1.38008,1.1894,2.34397,0.8023,0.69912,0.7461,0.42769,1.33047,1.2957,2.44102,0.00129609,0.00129609,0.00129609
31,15235.9,1.37923,1.18329,2.3428,0.79621,0.70335,0.75618,0.43065,1.33461,1.25595,2.45347,0.00128253,0.00128253,0.00128253
32,15723,1.37639,1.18018,2.33503,0.77492,0.70917,0.75236,0.43484,1.31791,1.15703,2.43366,0.0012686,0.0012686,0.0012686
33,16213.2,1.36456,1.17235,2.31759,0.78891,0.70995,0.75972,0.43789,1.33907,1.16244,2.44171,0.00125433,0.00125433,0.00125433
