epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,537.902,1.36137,1.52911,1.33756,0.52074,0.55691,0.46195,0.27261,1.35795,2.59734,1.39114,0.080193,0.000179882,0.000179882
2,1052.18,1.28585,1.08718,1.3039,0.5623,0.61108,0.51657,0.31745,1.2883,2.52954,1.35133,0.060373,0.00035986,0.00035986
3,1570.2,1.2377,0.98195,1.28345,0.49129,0.60828,0.46526,0.28273,1.32004,2.5689,1.36229,0.0405528,0.00053975,0.00053975
4,2066.74,1.22444,0.96037,1.28106,0.47204,0.59634,0.43988,0.25883,1.42142,3.02396,1.40434,0.0207326,0.000719487,0.000719487
5,2938.79,1.21301,0.93916,1.27614,0.53178,0.55224,0.46148,0.28561,1.31936,3.18034,1.36943,0.000912101,0.000899003,0.000899003
6,3505.44,1.19613,0.91664,1.27024,0.52704,0.5553,0.45272,0.28058,1.30622,3.29491,1.36081,0.000898627,0.000898627,0.000898627
7,5107.29,1.17612,0.88742,1.26197,0.52856,0.57557,0.47065,0.29304,1.31354,3.10959,1.36577,0.000898023,0.000898023,0.000898023
8,5615.52,1.16279,0.87002,1.25723,0.53394,0.56878,0.47114,0.29323,1.3204,3.14271,1.36369,0.00089731,0.00089731,0.00089731
9,6553.13,1.14826,0.85063,1.25177,0.54083,0.56589,0.47199,0.29576,1.30337,3.22566,1.35452,0.000896487,0.000896487,0.000896487
10,7656.17,1.13825,0.83717,1.24832,0.55021,0.56354,0.48057,0.30174,1.30563,3.23658,1.35954,0.000895556,0.000895556,0.000895556
11,8144.65,1.12663,0.82188,1.24383,0.54275,0.57175,0.47818,0.30026,1.31224,3.29663,1.35855,0.000894515,0.000894515,0.000894515
12,8640.05,1.11651,0.80932,1.24105,0.54355,0.56918,0.47913,0.3,1.31559,3.29643,1.36195,0.000893366,0.000893366,0.000893366
13,9131.81,1.10786,0.7947,1.23756,0.54596,0.58204,0.48671,0.30593,1.30788,3.24507,1.35844,0.000892109,0.000892109,0.000892109
14,10228.1,1.09938,0.78396,1.23487,0.54991,0.58201,0.49269,0.31026,1.31435,3.26778,1.3595,0.000890744,0.000890744,0.000890744
15,10713.8,1.09278,0.77521,1.23261,0.54665,0.57841,0.48628,0.30592,1.31691,3.27737,1.35929,0.000889271,0.000889271,0.000889271
16,11201.4,1.08355,0.76469,1.2303,0.5449,0.57851,0.48637,0.30589,1.32111,3.28686,1.36311,0.000887691,0.000887691,0.000887691
17,11689.5,1.07799,0.75738,1.22843,0.54454,0.57396,0.48327,0.30412,1.31584,3.3414,1.36185,0.000886004,0.000886004,0.000886004
18,12744.6,1.07113,0.747,1.22589,0.54605,0.57384,0.48461,0.30495,1.32016,3.37761,1.36533,0.00088421,0.00088421,0.00088421
19,13257.5,1.06612,0.74102,1.22313,0.54909,0.57277,0.48712,0.30652,1.32358,3.38806,1.36694,0.000882311,0.000882311,0.000882311
20,14958.7,1.06025,0.73371,1.22103,0.55052,0.5747,0.48954,0.30861,1.32381,3.37954,1.36712,0.000880306,0.000880306,0.000880306
21,15448.2,1.05484,0.72793,1.22053,0.55093,0.57484,0.48923,0.30849,1.32374,3.3887,1.36801,0.000878196,0.000878196,0.000878196
22,16321.4,1.05034,0.72288,1.21954,0.55151,0.57622,0.49065,0.30959,1.32364,3.38334,1.36813,0.000875981,0.000875981,0.000875981
23,16842.5,1.0448,0.7152,1.21698,0.55177,0.57647,0.49067,0.30963,1.32416,3.38704,1.36845,0.000873662,0.000873662,0.000873662
24,17339.7,1.04108,0.71272,1.21625,0.55148,0.57666,0.49095,0.30979,1.32562,3.38838,1.36944,0.00087124,0.00087124,0.00087124
25,17844.9,1.03576,0.70522,1.21397,0.55172,0.57605,0.49111,0.30987,1.326,3.39808,1.36956,0.000868715,0.000868715,0.000868715
26,18348.9,1.03183,0.70299,1.2137,0.5526,0.57607,0.49159,0.31019,1.3263,3.39573,1.36979,0.000866088,0.000866088,0.000866088
27,18842.1,1.0293,0.70057,1.2118,0.55286,0.5756,0.49155,0.31031,1.32593,3.39491,1.36967,0.00086336,0.00086336,0.00086336
28,19349.4,1.02624,0.69809,1.21056,0.55203,0.57644,0.49147,0.3102,1.32622,3.39244,1.36986,0.00086053,0.00086053,0.00086053
29,19848.8,1.02225,0.69416,1.20939,0.55054,0.57733,0.4909,0.30999,1.32651,3.40242,1.36992,0.0008576,0.0008576,0.0008576
30,20960.4,1.01747,0.68862,1.20807,0.54951,0.57777,0.4903,0.30971,1.3269,3.40995,1.37046,0.000854571,0.000854571,0.000854571
31,21458.3,1.01446,0.68437,1.2061,0.54773,0.57837,0.48927,0.30887,1.32784,3.41861,1.37114,0.000851443,0.000851443,0.000851443
32,21957.7,1.01012,0.68133,1.20597,0.54656,0.57866,0.48873,0.30865,1.32845,3.42506,1.37166,0.000848218,0.000848218,0.000848218
